#index	label	wavelength	comment
0	zero                      0 		# type: i, null placeholder
1	Unit                1.00000A		# type: i, unit integration placeholder
2	UntD                1.00000A		# type: i, unit integration placeholder
####	general properties.............................
4	Inci                      0 		# type: i, total luminosity in incident continuum
5	TotH                      0 		# type: i, total heating, all forms, information since individuals added later 
6	TotC                      0 		# type: i, total cooling, all forms, information since individuals added later 
7	BFH1                      0 		# type: h, hydrogen photoionization heating, ground state only 
8	BFHx                      0 		# type: h, net hydrogen photoionization heating less rec cooling, all excited states normally zero, positive if excited states are net heating 
9	Line                      0 		# type: h, heating due to induced lines absorption of continuum 
10	BFHe                      0 		# type: h, total helium photoionization heating, all stages 
11	TotM                      0 		# type: h, total heavy element photoionization heating, all stages 
12	pair                      0 		# type: h, heating due to pair production 
13	Cbnd                      0 		# type: h, heating due to bound compton scattering 
14	ComH                      0 		# type: h, Compton heating 
15	ComC                      0 		# type: c, total Compton cooling 
16	advC                      0 		# type: i, cooling due to advection 
17	advH                      0 		# type: i, heating due to advection 
18	CT H                      0 		# type: h, heating due to charge transfer 
19	CT C                      0 		# type: c, cooling due to charge transfer 
20	CR H                      0 		# type: h, cosmic ray heating 
21	extH                      0 		# type: h, extra heat added to this zone, from HEXTRA command 
22	extC                      0 		# type: c, extra cooling added to this zone, from CEXTRA command 
23	e-e+                0.024270A		# type: r, 511keV annihilation line 
24	Expn                      0 		# type: c, expansion cooling, only non-zero for wind 
25	H FB                      0 		# type: i, H radiative recombination cooling 
26	HFBc                      0 		# type: c, net free-bound cooling 
27	HFBh                      0 		# type: h, net free-bound heating 
28	Hind                      0 		# type: c, cooling due to induced rec of hydrogen 
29	Cycn                      0 		# type: c, cyclotron cooling 
30	H  1c                     0 		# type: c, net cooling due to iso-seq species
31	H  1h                     0 		# type: h, heating due to iso-seq species
32	He 2c                     0 		# type: c, net cooling due to iso-seq species
33	He 2h                     0 		# type: h, heating due to iso-seq species
34	Li 3c                     0 		# type: c, net cooling due to iso-seq species
35	Li 3h                     0 		# type: h, heating due to iso-seq species
36	Be 4c                     0 		# type: c, net cooling due to iso-seq species
37	Be 4h                     0 		# type: h, heating due to iso-seq species
38	B  5c                     0 		# type: c, net cooling due to iso-seq species
39	B  5h                     0 		# type: h, heating due to iso-seq species
40	C  6c                     0 		# type: c, net cooling due to iso-seq species
41	C  6h                     0 		# type: h, heating due to iso-seq species
42	N  7c                     0 		# type: c, net cooling due to iso-seq species
43	N  7h                     0 		# type: h, heating due to iso-seq species
44	O  8c                     0 		# type: c, net cooling due to iso-seq species
45	O  8h                     0 		# type: h, heating due to iso-seq species
