hden	logU	logU/T	log T	Pgas
1.000e+00	6.523e+00	-5.992e-01	7.122e+00	4.225e-08
1.250e+00	6.273e+00	-8.491e-01	7.122e+00	7.512e-08
1.500e+00	6.023e+00	-1.099e+00	7.122e+00	1.336e-07
1.750e+00	5.773e+00	-1.349e+00	7.122e+00	2.374e-07
2.000e+00	5.523e+00	-1.599e+00	7.122e+00	4.220e-07
2.250e+00	5.273e+00	-1.848e+00	7.121e+00	7.496e-07
2.500e+00	5.023e+00	-2.097e+00	7.120e+00	1.331e-06
2.750e+00	4.773e+00	-2.346e+00	7.119e+00	2.358e-06
3.000e+00	4.523e+00	-2.593e+00	7.116e+00	4.169e-06
3.250e+00	4.273e+00	-2.839e+00	7.112e+00	7.338e-06
3.500e+00	4.023e+00	-3.081e+00	7.104e+00	1.281e-05
3.750e+00	3.773e+00	-3.317e+00	7.090e+00	2.205e-05
4.000e+00	3.523e+00	-3.542e+00	7.065e+00	3.701e-05
4.250e+00	3.273e+00	-3.747e+00	7.020e+00	5.942e-05
4.500e+00	3.023e+00	-3.919e+00	6.942e+00	8.821e-05
4.750e+00	2.773e+00	-4.032e+00	6.804e+00	1.143e-04
5.000e+00	2.523e+00	-4.044e+00	6.567e+00	1.177e-04
5.250e+00	2.273e+00	-3.927e+00	6.200e+00	8.987e-05
5.500e+00	2.023e+00	-3.961e+00	5.984e+00	9.725e-05
5.750e+00	1.773e+00	-3.964e+00	5.737e+00	9.795e-05
6.000e+00	1.523e+00	-3.840e+00	5.362e+00	7.345e-05
6.250e+00	1.273e+00	-3.930e+00	5.203e+00	9.047e-05
6.500e+00	1.023e+00	-4.054e+00	5.077e+00	1.204e-04
6.750e+00	7.729e-01	-4.126e+00	4.899e+00	1.421e-04
7.000e+00	5.229e-01	-4.217e+00	4.740e+00	1.750e-04
7.250e+00	2.729e-01	-4.346e+00	4.619e+00	2.358e-04
7.500e+00	2.290e-02	-4.503e+00	4.526e+00	3.381e-04
7.750e+00	-2.271e-01	-4.686e+00	4.459e+00	5.155e-04
8.000e+00	-4.771e-01	-4.892e+00	4.415e+00	8.272e-04
8.250e+00	-7.271e-01	-5.112e+00	4.385e+00	1.373e-03
8.500e+00	-9.771e-01	-5.339e+00	4.362e+00	2.315e-03
8.750e+00	-1.227e+00	-5.566e+00	4.339e+00	3.903e-03
9.000e+00	-1.477e+00	-5.789e+00	4.312e+00	6.527e-03
9.250e+00	-1.727e+00	-6.011e+00	4.284e+00	1.086e-02
9.500e+00	-1.977e+00	-6.236e+00	4.259e+00	1.822e-02
9.750e+00	-2.227e+00	-6.469e+00	4.242e+00	3.107e-02
1.000e+01	-2.477e+00	-6.708e+00	4.231e+00	5.363e-02
1.025e+01	-2.727e+00	-6.946e+00	4.219e+00	9.252e-02
1.050e+01	-2.977e+00	-7.177e+00	4.200e+00	1.559e-01
1.075e+01	-3.227e+00	-7.399e+00	4.172e+00	2.573e-01
1.100e+01	-3.477e+00	-7.615e+00	4.138e+00	4.199e-01
1.125e+01	-3.727e+00	-7.831e+00	4.104e+00	6.765e-01
1.150e+01	-3.977e+00	-8.050e+00	4.073e+00	1.103e+00
1.175e+01	-4.227e+00	-8.275e+00	4.048e+00	1.794e+00
1.200e+01	-4.477e+00	-8.506e+00	4.029e+00	2.920e+00
